'0:00.000',148.356
'0:00.004',147.496
'0:00.008',146.807
'0:00.012',146.291
'0:00.016',144.914
'0:00.020',144.398
'0:00.024',144.226
'0:00.028',143.365
'0:00.032',142.677
'0:00.036',142.332
'0:00.040',141.472
'0:00.044',141.128
'0:00.048',140.267
'0:00.052',139.407
'0:00.056',138.890
'0:00.060',138.030
'0:00.064',136.481
'0:00.068',135.276
'0:00.072',133.899
'0:00.076',132.522
'0:00.080',130.629
'0:00.084',128.736
'0:00.088',127.015
'0:00.092',124.950
'0:00.096',123.056
'0:00.100',121.335
'0:00.104',119.442
'0:00.108',117.549
'0:00.112',116.344
'0:00.116',114.967
'0:00.120',113.591
'0:00.124',112.558
'0:00.128',112.042
'0:00.132',111.181
'0:00.136',111.181
'0:00.140',110.665
'0:00.144',110.493
'0:00.148',110.493
'0:00.152',111.009
'0:00.156',111.353
'0:00.160',111.525
'0:00.164',112.042
'0:00.168',112.558
'0:00.172',113.246
'0:00.176',113.591
'0:00.180',114.451
'0:00.184',114.967
'0:00.188',115.312
'0:00.192',115.656
'0:00.196',115.828
'0:00.200',116.344
'0:00.204',116.689
'0:00.208',116.516
'0:00.212',116.689
'0:00.216',116.516
'0:00.220',116.689
'0:00.224',116.000
'0:00.228',116.000
'0:00.232',115.484
'0:00.236',115.140
'0:00.240',114.623
'0:00.244',114.279
'0:00.248',113.418
'0:00.252',112.902
'0:00.256',112.558
'0:00.260',111.697
'0:00.264',111.181
'0:00.268',110.321
'0:00.272',109.804
'0:00.276',109.116
'0:00.280',108.944
'0:00.284',107.911
'0:00.288',107.567
'0:00.292',106.706
'0:00.296',106.362
'0:00.300',105.502
'0:00.304',104.985
'0:00.308',104.469
'0:00.312',104.125
'0:00.316',103.264
'0:00.320',102.920
'0:00.324',102.576
'0:00.328',101.715
'0:00.332',101.371
'0:00.336',101.027
'0:00.340',100.683
'0:00.344',99.822
'0:00.348',99.478
'0:00.352',99.134
'0:00.356',98.617
'0:00.360',98.445
'0:00.364',97.929
'0:00.368',97.757
'0:00.372',96.724
'0:00.376',96.552
'0:00.380',96.208
'0:00.384',96.380
'0:00.388',95.864
'0:00.392',95.519
'0:00.396',95.347
'0:00.400',95.003
'0:00.404',94.659
'0:00.408',94.315
'0:00.412',93.970
'0:00.416',93.970
'0:00.420',93.626
'0:00.424',93.282
'0:00.428',93.282
'0:00.432',92.938
'0:00.436',92.766
'0:00.440',92.766
'0:00.444',92.594
'0:00.448',92.766
'0:00.452',92.249
'0:00.456',92.594
'0:00.460',92.249
'0:00.464',91.905
'0:00.468',91.905
'0:00.472',91.905
'0:00.476',91.561
'0:00.480',91.561
'0:00.484',91.217
'0:00.488',91.217
'0:00.492',90.872
'0:00.496',90.700
'0:00.500',90.184
'0:00.504',89.840
'0:00.508',89.840
'0:00.512',89.324
'0:00.516',88.979
'0:00.520',88.979
'0:00.524',88.463
'0:00.528',88.291
'0:00.532',87.775
'0:00.536',87.947
'0:00.540',87.775
'0:00.544',87.086
'0:00.548',86.914
'0:00.552',86.914
'0:00.556',86.570
'0:00.560',86.914
'0:00.564',87.086
'0:00.568',87.086
'0:00.572',87.775
'0:00.576',88.463
'0:00.580',90.184
'0:00.584',91.905
'0:00.588',94.143
'0:00.592',96.552
'0:00.596',99.650
'0:00.600',103.092
'0:00.604',106.878
'0:00.608',110.837
'0:00.612',115.312
'0:00.616',119.959
'0:00.620',124.778
'0:00.624',129.769
'0:00.628',134.932
'0:00.632',139.751
'0:00.636',144.742
'0:00.640',149.389
'0:00.644',153.864
'0:00.648',157.994
'0:00.652',161.781
'0:00.656',165.051
'0:00.660',168.149
'0:00.664',170.386
'0:00.668',171.591
'0:00.672',172.968
'0:00.676',173.312
'0:00.680',173.828
'0:00.684',173.828
'0:00.688',173.140
'0:00.692',171.935
'0:00.696',171.074
'0:00.700',169.525
'0:00.704',167.804
'0:00.708',165.911
'0:00.712',164.706
'0:00.716',162.813
'0:00.720',160.920
'0:00.724',159.371
'0:00.728',157.994
'0:00.732',156.101
'0:00.736',154.896
'0:00.740',153.864
'0:00.744',152.487
'0:00.748',151.454
'0:00.752',150.249
'0:00.756',149.045
'0:00.760',148.356
'0:00.764',147.324
'0:00.768',146.979
'0:00.772',145.775
'0:00.776',145.086
'0:00.780',144.742
'0:00.784',144.226
'0:00.788',143.537
'0:00.792',142.677
'0:00.796',142.332
'0:00.800',141.472
'0:00.804',141.128
'0:00.808',140.611
'0:00.812',139.923
'0:00.816',139.062
'0:00.820',138.030
'0:00.824',137.169
'0:00.828',135.965
'0:00.832',134.932
'0:00.836',133.211
'0:00.840',131.834
'0:00.844',129.941
'0:00.848',128.220
'0:00.852',126.671
'0:00.856',124.089
'0:00.860',122.368
'0:00.864',120.647
'0:00.868',118.926
'0:00.872',117.377
'0:00.876',115.656
'0:00.880',114.623
'0:00.884',113.246
'0:00.888',112.214
'0:00.892',111.353
'0:00.896',110.837
'0:00.900',110.493
'0:00.904',110.493
'0:00.908',110.493
'0:00.912',110.148
'0:00.916',110.665
'0:00.920',110.665
'0:00.924',111.009
'0:00.928',111.870
'0:00.932',111.870
'0:00.936',112.558
'0:00.940',112.902
'0:00.944',113.763
'0:00.948',114.279
'0:00.952',114.451
'0:00.956',114.795
'0:00.960',115.312
'0:00.964',115.656
'0:00.968',115.828
'0:00.972',115.828
'0:00.976',115.656
'0:00.980',116.000
'0:00.984',115.656
'0:00.988',115.312
'0:00.992',114.967
'0:00.996',114.623
'0:01.000',114.279
'0:01.004',113.935
