'0:00.000',-0.952
'0:00.004',-0.936
'0:00.008',-0.892
'0:00.012',-0.972
'0:00.016',-0.876
'0:00.020',-0.960
'0:00.024',-0.928
'0:00.028',-0.898
'0:00.032',-0.960
'0:00.036',-0.872
'0:00.040',-0.960
'0:00.044',-0.896
'0:00.048',-0.898
'0:00.052',-0.962
'0:00.056',-0.864
'0:00.060',-0.944
'0:00.064',-0.886
'0:00.068',-0.884
'0:00.072',-0.928
'0:00.076',-0.844
'0:00.080',-0.934
'0:00.084',-0.874
'0:00.088',-0.900
'0:00.092',-0.912
'0:00.096',-0.832
'0:00.100',-0.922
'0:00.104',-0.848
'0:00.108',-0.882
'0:00.112',-0.896
'0:00.116',-0.840
'0:00.120',-0.934
'0:00.124',-0.850
'0:00.128',-0.888
'0:00.132',-0.876
'0:00.136',-0.828
'0:00.140',-0.920
'0:00.144',-0.826
'0:00.148',-0.898
'0:00.152',-0.880
'0:00.156',-0.844
'0:00.160',-0.906
'0:00.164',-0.834
'0:00.168',-0.902
'0:00.172',-0.868
'0:00.176',-0.854
'0:00.180',-0.904
'0:00.184',-0.820
'0:00.188',-0.912
'0:00.192',-0.862
'0:00.196',-0.864
'0:00.200',-0.902
'0:00.204',-0.822
'0:00.208',-0.916
'0:00.212',-0.834
'0:00.216',-0.856
'0:00.220',-0.888
'0:00.224',-0.802
'0:00.228',-0.864
'0:00.232',-0.788
'0:00.236',-0.808
'0:00.240',-0.820
'0:00.244',-0.750
'0:00.248',-0.852
'0:00.252',-0.780
'0:00.256',-0.826
'0:00.260',-0.832
'0:00.264',-0.756
'0:00.268',-0.872
'0:00.272',-0.788
'0:00.276',-0.850
'0:00.280',-0.842
'0:00.284',-0.796
'0:00.288',-0.880
'0:00.292',-0.792
'0:00.296',-0.856
'0:00.300',-0.842
'0:00.304',-0.834
'0:00.308',-0.914
'0:00.312',-0.838
'0:00.316',-0.924
'0:00.320',-0.874
'0:00.324',-0.864
'0:00.328',-0.920
'0:00.332',-0.842
'0:00.336',-0.934
'0:00.340',-0.874
'0:00.344',-0.874
'0:00.348',-0.912
'0:00.352',-0.846
'0:00.356',-0.928
'0:00.360',-0.854
'0:00.364',-0.876
'0:00.368',-0.894
'0:00.372',-0.840
'0:00.376',-0.944
'0:00.380',-0.886
'0:00.384',-0.894
'0:00.388',-0.794
'0:00.392',-0.546
'0:00.396',-0.376
'0:00.400',-0.004
'0:00.404',0.232
'0:00.408',0.404
'0:00.412',0.314
'0:00.416',-0.216
'0:00.420',-0.564
'0:00.424',-0.864
'0:00.428',-1.030
'0:00.432',-1.032
'0:00.436',-1.096
'0:00.440',-0.966
'0:00.444',-0.992
'0:00.448',-0.938
'0:00.452',-0.896
'0:00.456',-0.976
'0:00.460',-0.880
'0:00.464',-0.968
'0:00.468',-0.926
'0:00.472',-0.912
'0:00.476',-0.960
'0:00.480',-0.870
'0:00.484',-0.960
'0:00.488',-0.896
'0:00.492',-0.916
'0:00.496',-0.942
'0:00.500',-0.862
'0:00.504',-0.944
'0:00.508',-0.862
'0:00.512',-0.890
'0:00.516',-0.904
